https://fragalysis.diamond.ac.uk/viewer/react/projects/312/279,,,,,
smiles,name,compound_set,red,red-text,blue
NC(=O)c1ccc(Cl)c2ccn(O)c12,CHIKV_Mac-CWNP,Fstein_pures_adenine-2024-04-05-A,,,TRUE
CCc1ccc(N)c2c(O)cccc12,CHIKV_Mac-95GZ,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC(=O)[C@@H]1CN(C)CNC2=C(C[C@H](NC(N)=O)CC2)N1,CHIKV_Mac-G3JS,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cc(CC[C@H](C)NC(N)=O)cc(N(C)NC=O)n1,CHIKV_Mac-7ENT,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC1=c2ccc(NC(N)=O)c3c2=C=C(N1)[C@@H](F)CC(=O)NO3,CHIKV_Mac-96LY,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cn1nc(C(F)F)c2c1CC[C@@H](NC(N)=O)CC2,CHIKV_Mac-5ULJ,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
CC(=O)Nc1cc(NC(N)=O)ccc1Br,CHIKV_Mac-74KZ,Fstein_pures_adenine-2024-04-05-A,,,TRUE
CC(=O)c1ccc2ccc(NC(N)=O)c3c2c1N=C3,CHIKV_Mac-PRM9,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
NC(=O)N[C@@H]1CC[C@H](CO)[C@@]2(COCCO2)C1,CHIKV_Mac-65FP,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1ccc2c(Cl)cccc2c1O,CHIKV_Mac-CU3D,Fstein_pures_adenine-2024-04-05-A,,,TRUE
COCc1cc(N)nc2ccccc12,CHIKV_Mac-7S66,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
COC(=O)c1cc(N)nc2ccccc12,CHIKV_Mac-4LTT,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
COC(=O)c1c2ccc[nH]c-2nc1N,CHIKV_Mac-47PD,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1ccc2cccc3c2c1N=C3N,CHIKV_Mac-5PV9,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
C[C@H]1CCCc2cccc3ccnc1c23,CHIKV_Mac-AVFE,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1cc(CO)c2ccccc2n1,CHIKV_Mac-9PW9,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1cc(CO)cc2c1OCC2,CHIKV_Mac-9LGC,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Cc1cc(N)c(O)c2cc(F)ccc12,CHIKV_Mac-4SGL,Fstein_pures_adenine-2024-04-05-A,TRUE,red,
Nc1cc(Br)c2ccccc2[n+]1[O-],CHIKV_Mac-5HAP,Fstein_pures_adenine-2024-04-05-A,,,TRUE
